"Facility ID","Measure ID","Value","Footnote","Start Date","End Date"
050327,MSPB-1,1.012729,,01/01/2021,12/31/2021
050329,MSPB-1,1.003709,,01/01/2021,12/31/2021
050334,MSPB-1,0.982433,,01/01/2021,12/31/2021
050335,MSPB-1,0.901205,,01/01/2021,12/31/2021
050336,MSPB-1,0.953710,,01/01/2021,12/31/2021
050342,MSPB-1,0.913683,,01/01/2021,12/31/2021
050348,MSPB-1,1.019305,,01/01/2021,12/31/2021
050350,MSPB-1,1.101704,,01/01/2021,12/31/2021
050351,MSPB-1,0.969366,,01/01/2021,12/31/2021
050352,MSPB-1,0.947244,,01/01/2021,12/31/2021
050353,MSPB-1,0.967157,,01/01/2021,12/31/2021
050357,MSPB-1,0.937832,,01/01/2021,12/31/2021
050360,MSPB-1,0.981410,,01/01/2021,12/31/2021
050367,MSPB-1,0.946030,,01/01/2021,12/31/2021
050373,MSPB-1,0.908657,,01/01/2021,12/31/2021
050376,MSPB-1,0.894907,,01/01/2021,12/31/2021
050378,MSPB-1,1.132259,,01/01/2021,12/31/2021
050380,MSPB-1,1.036087,,01/01/2021,12/31/2021
050382,MSPB-1,1.184424,,01/01/2021,12/31/2021
050390,MSPB-1,1.063566,,01/01/2021,12/31/2021
050393,MSPB-1,1.009137,,01/01/2021,12/31/2021
050394,MSPB-1,1.010905,,01/01/2021,12/31/2021
050396,MSPB-1,1.006414,,01/01/2021,12/31/2021
050407,MSPB-1,0.842293,,01/01/2021,12/31/2021
050411,MSPB-1,0.972304,,01/01/2021,12/31/2021
050414,MSPB-1,0.916087,,01/01/2021,12/31/2021
050417,MSPB-1,0.937147,,01/01/2021,12/31/2021
050423,MSPB-1,1.248658,,01/01/2021,12/31/2021
050424,MSPB-1,0.941849,,01/01/2021,12/31/2021
050425,MSPB-1,1.005052,,01/01/2021,12/31/2021
050426,MSPB-1,1.104217,,01/01/2021,12/31/2021
050438,MSPB-1,1.010045,,01/01/2021,12/31/2021
050441,MSPB-1,1.001539,,01/01/2021,12/31/2021
050444,MSPB-1,0.932246,,01/01/2021,12/31/2021
050454,MSPB-1,0.987872,,01/01/2021,12/31/2021
050455,MSPB-1,1.056598,,01/01/2021,12/31/2021
050457,MSPB-1,0.992435,,01/01/2021,12/31/2021
050464,MSPB-1,0.974073,,01/01/2021,12/31/2021
050468,MSPB-1,1.109160,,01/01/2021,12/31/2021
050471,MSPB-1,1.090179,,01/01/2021,12/31/2021
050481,MSPB-1,1.036940,,01/01/2021,12/31/2021
050485,MSPB-1,1.057259,,01/01/2021,12/31/2021
050488,MSPB-1,1.056027,,01/01/2021,12/31/2021
050492,MSPB-1,1.037783,,01/01/2021,12/31/2021
050496,MSPB-1,0.973578,,01/01/2021,12/31/2021
050498,MSPB-1,0.892422,,01/01/2021,12/31/2021
050503,MSPB-1,0.932659,,01/01/2021,12/31/2021
050506,MSPB-1,0.978017,,01/01/2021,12/31/2021
050510,MSPB-1,1.118979,,01/01/2021,12/31/2021
050512,MSPB-1,1.017812,,01/01/2021,12/31/2021
050515,MSPB-1,0.917877,,01/01/2021,12/31/2021
050516,MSPB-1,0.980845,,01/01/2021,12/31/2021
050517,MSPB-1,0.985301,,01/01/2021,12/31/2021
050523,MSPB-1,0.990677,,01/01/2021,12/31/2021
050526,MSPB-1,1.099483,,01/01/2021,12/31/2021
050528,MSPB-1,0.865385,,01/01/2021,12/31/2021
050534,MSPB-1,0.922936,,01/01/2021,12/31/2021
050537,MSPB-1,0.865486,,01/01/2021,12/31/2021
050541,MSPB-1,0.925411,,01/01/2021,12/31/2021
050543,MSPB-1,0.995771,,01/01/2021,12/31/2021
050546,MSPB-1,N/A,1,01/01/2021,12/31/2021
050549,MSPB-1,1.018739,,01/01/2021,12/31/2021
050551,MSPB-1,1.023432,,01/01/2021,12/31/2021
050557,MSPB-1,0.959362,,01/01/2021,12/31/2021
050561,MSPB-1,0.941934,,01/01/2021,12/31/2021
050567,MSPB-1,0.984908,,01/01/2021,12/31/2021
050568,MSPB-1,0.986046,,01/01/2021,12/31/2021
050570,MSPB-1,1.040434,,01/01/2021,12/31/2021
050573,MSPB-1,0.987773,,01/01/2021,12/31/2021
050580,MSPB-1,1.083473,,01/01/2021,12/31/2021
050581,MSPB-1,1.096863,,01/01/2021,12/31/2021
050586,MSPB-1,0.976558,,01/01/2021,12/31/2021
050588,MSPB-1,1.119248,,01/01/2021,12/31/2021
050589,MSPB-1,0.971444,,01/01/2021,12/31/2021
050590,MSPB-1,0.919400,,01/01/2021,12/31/2021
050597,MSPB-1,1.179310,,01/01/2021,12/31/2021
050599,MSPB-1,0.997259,,01/01/2021,12/31/2021
050603,MSPB-1,1.033607,,01/01/2021,12/31/2021
050604,MSPB-1,0.907837,,01/01/2021,12/31/2021
050608,MSPB-1,0.917895,,01/01/2021,12/31/2021
050609,MSPB-1,0.849301,,01/01/2021,12/31/2021
050624,MSPB-1,1.020752,,01/01/2021,12/31/2021
050625,MSPB-1,1.078342,,01/01/2021,12/31/2021
050633,MSPB-1,0.930289,,01/01/2021,12/31/2021
050636,MSPB-1,1.004104,,01/01/2021,12/31/2021
050641,MSPB-1,1.080421,,01/01/2021,12/31/2021
050663,MSPB-1,1.269165,,01/01/2021,12/31/2021
050668,MSPB-1,0.868498,,01/01/2021,12/31/2021
050674,MSPB-1,0.908591,,01/01/2021,12/31/2021
050677,MSPB-1,1.080862,,01/01/2021,12/31/2021
050678,MSPB-1,0.995460,,01/01/2021,12/31/2021
050684,MSPB-1,1.018935,,01/01/2021,12/31/2021
050686,MSPB-1,0.937549,,01/01/2021,12/31/2021
050689,MSPB-1,0.928308,,01/01/2021,12/31/2021
050690,MSPB-1,0.791004,,01/01/2021,12/31/2021
050696,MSPB-1,1.002318,,01/01/2021,12/31/2021
050697,MSPB-1,0.764062,,01/01/2021,12/31/2021
050701,MSPB-1,0.989656,,01/01/2021,12/31/2021
050704,MSPB-1,1.187550,,01/01/2021,12/31/2021
050708,MSPB-1,0.970466,,01/01/2021,12/31/2021
050709,MSPB-1,0.903000,,01/01/2021,12/31/2021
050710,MSPB-1,0.958277,,01/01/2021,12/31/2021
050714,MSPB-1,0.978728,,01/01/2021,12/31/2021
050717,MSPB-1,1.067312,,01/01/2021,12/31/2021
050723,MSPB-1,0.975567,,01/01/2021,12/31/2021
050724,MSPB-1,0.981911,,01/01/2021,12/31/2021
050726,MSPB-1,0.865055,,01/01/2021,12/31/2021
050735,MSPB-1,1.250499,,01/01/2021,12/31/2021
050736,MSPB-1,0.954980,,01/01/2021,12/31/2021
050737,MSPB-1,1.128342,,01/01/2021,12/31/2021
050738,MSPB-1,1.215915,,01/01/2021,12/31/2021
050739,MSPB-1,1.033164,,01/01/2021,12/31/2021
050740,MSPB-1,1.129808,,01/01/2021,12/31/2021
050742,MSPB-1,1.200995,,01/01/2021,12/31/2021
050744,MSPB-1,1.121776,,01/01/2021,12/31/2021
050745,MSPB-1,1.097674,,01/01/2021,12/31/2021
050746,MSPB-1,1.066390,,01/01/2021,12/31/2021
050747,MSPB-1,1.309965,,01/01/2021,12/31/2021
050748,MSPB-1,1.003244,,01/01/2021,12/31/2021
050755,MSPB-1,1.096911,,01/01/2021,12/31/2021
050757,MSPB-1,1.085479,,01/01/2021,12/31/2021
050758,MSPB-1,1.070693,,01/01/2021,12/31/2021
050760,MSPB-1,0.906978,,01/01/2021,12/31/2021
050761,MSPB-1,1.057894,,01/01/2021,12/31/2021
050763,MSPB-1,1.369595,,01/01/2021,12/31/2021
